index,u0,u1,u2,u3,u4
1,0.10352776911447098,-0.0109935690084493,-0.0431972408814713,-0.0476809624326188,-0.123534057408627
2,0.0918163260491195,-0.0381680277629631,-0.0360203229046882,-0.0752089826517969,-0.0037428436770548
3,0.11527888611413499,-0.172723352168259,-0.13498069794693,-0.0227485935392204,0.166450546287513
4,0.11546506429539699,0.0247775348833918,0.13634700713612,0.0168731826866506,0.0521231758470893
5,0.11039314552928,-0.0060680014306198,-0.176002284209682,0.00938891597644713,-0.0101693746889701
6,0.0816055914843229,0.0365241275074808,0.0191353910371946,-0.008776207215562,-0.0504066348787602
7,0.10756266773651,0.13743652247413402,-0.0849241248520579,-0.0960284250556486,0.0808403769918169
8,0.119580945730095,-0.0337188145677917,-0.10451423331386699,-0.0584096532440892,-0.0553719424313856
9,0.101256933465608,0.041500737541622,-0.0991916761456921,0.0859900235863773,0.143595234943797
10,0.128516127221017,-0.007597109783839959,-0.0348693089705808,0.172515914074624,0.0214418154874254
11,0.12014119623479699,-0.147430375432428,-0.0398483720583018,-0.20914451425112401,-0.0207282065101667
12,0.10299641619525,0.047557353205613,-0.0393913195902802,0.0343726653171514,0.0249553129896152
13,0.0972366790696446,0.22428148252363,0.13839441113954998,-0.11757608440789201,0.0867494531269526
14,0.103718137795076,-0.087536282175928,-0.136641538075813,0.00760119467619348,-0.0535401711589798
15,0.112164163151967,-0.0323749043140097,0.16646801117041501,0.008695457651127059,0.10884557826550599
16,0.10446038561300801,-0.00259742660355603,0.00548079006615099,-0.10191165688017599,-0.120101100260194
17,0.11224247255867001,0.00271058438143995,-0.140974771262184,0.20221706020496302,0.0549733741143239
18,0.110618028754834,-0.029669223630653,-0.112169784904946,-0.0579461275916028,0.0105454598052657
19,0.115390021123596,0.270083182012619,-0.157916699196558,0.11300857299841101,0.0414876223816586
20,0.11420014917027199,-0.0270321022919506,0.0152042023492742,0.115256310158736,-0.0039294318628291395
21,0.10131622468761099,0.162463756622686,-0.0488678090519612,-0.079225452660128,-0.0633722729465316
22,0.10979087532802699,-0.0657191749803814,-0.00352132432995736,-0.16614736009721803,0.0803214992287382
23,0.101706383051113,-0.101825295565091,-0.0996977233901224,-0.189331009791875,-0.0918747240597727
24,0.11611793036335401,-0.0203543447064573,-0.0288189060513737,-0.00911662612671134,-0.3068841861407
25,0.11824917058092,-0.10458896451288302,0.20326370711479802,-0.183830312587821,-0.19490735802990197
26,0.0931191919970403,-0.0510168850951788,-0.0672486276174764,-0.194468383915863,-0.11053295949267998
27,0.0998851209868089,0.030389930586427003,-0.0512434110194553,0.00857941461791614,-0.059663669041540995
28,0.0618612451449421,0.09046006819831401,0.0182971764546839,0.0575102059856755,-0.101775303718282
29,0.115200758665443,0.107553311296812,0.0134983423173617,0.100327167058226,-0.162458256336367
